,L1-1,L1-2,L1-3,L1-4,L2,L3,adult-1,adult-2,dauer-1,dauer-2,dauer-daf2,type
ADA,7,11,7,14,15,14,17,12,16,10,8,inter
ADE,6,4,6,9,15,19,35,33,12,20,13,modulatory
ADF,8,11,12,13,16,10,19,18,20,22,20,sensory
ADL,7,8,11,12,14,15,18,20,18,12,17,sensory
AFD,2,1,4,4,6,3,2,6,6,3,8,sensory
AIA,7,8,8,9,12,9,12,10,17,13,20,inter
AIB,8,8,8,9,10,11,21,23,22,11,19,inter
AIM,5,4,5,10,12,12,28,22,20,17,20,modulatory
AIN,9,11,6,8,8,7,12,14,14,10,20,inter
AIY,7,10,7,7,7,8,12,13,14,12,10,inter
AIZ,10,11,8,13,15,15,16,20,21,18,15,inter
ALA,2,1,1,4,2,1,4,3,16,12,18,modulatory
ALM,3,3,5,6,15,8,12,10,11,13,6,sensory
ALN,0,0,0,0,4,4,10,9,14,10,11,sensory
AQR,0,0,0,9,10,10,12,12,10,5,12,sensory
ASE,6,6,7,7,9,7,15,13,21,14,16,sensory
ASG,3,4,4,3,4,2,5,6,5,2,2,sensory
ASH,8,15,16,14,19,13,21,25,21,15,23,sensory
ASI,6,2,4,4,7,12,10,12,11,8,10,sensory
ASJ,3,2,5,2,4,2,6,5,8,8,14,sensory
ASK,1,3,3,4,4,5,13,16,10,11,15,sensory
AUA,4,4,5,6,7,6,8,9,9,9,14,sensory
AVA,0,0,0,0,0,0,0,0,3,8,0,inter
AVB,0,0,0,0,0,0,0,0,1,5,5,inter
AVD,0,0,0,0,0,0,0,0,0,0,0,inter
AVE,0,0,0,0,0,0,0,0,0,0,0,inter
AVF,0,0,0,0,8,2,18,19,28,26,13,modulatory
AVH,6,12,11,16,20,14,27,19,31,29,29,modulatory
AVJ,3,7,4,6,5,6,7,12,23,17,20,inter
AVK,10,9,9,11,14,12,16,15,21,18,17,modulatory
AVL,0,1,3,2,2,0,3,5,2,2,2,modulatory
AVM,0,0,0,0,10,9,6,8,14,5,5,sensory
AWA,8,9,10,8,11,10,15,16,19,18,20,sensory
AWB,5,4,5,11,10,10,15,13,20,15,18,sensory
AWC,6,8,7,7,10,8,11,12,13,8,11,sensory
BAG,3,4,4,4,6,7,12,11,17,12,18,sensory
BDU,4,5,8,5,14,12,15,14,14,15,17,inter
CEPD,8,11,10,13,15,16,25,24,22,17,17,modulatory
CEPV,6,7,12,13,13,14,21,21,19,17,21,modulatory
DVA,6,6,7,7,14,16,20,23,16,22,17,sensory
DVC,5,6,5,9,11,10,13,12,20,17,19,modulatory
FLP,3,6,8,8,9,10,13,13,7,11,9,sensory
HSN,0,0,0,0,0,0,20,16,0,0,0,modulatory
IL1D,4,3,4,3,5,4,5,8,12,12,11,motor
IL1L/R,3,5,7,6,7,7,13,9,9,10,8,motor
IL1V,3,3,3,3,4,4,6,6,9,9,8,motor
IL2D,5,6,6,6,8,9,15,14,14,9,7,sensory
IL2L/R,3,4,8,5,10,11,17,19,19,18,14,sensory
IL2V,4,4,8,6,11,10,15,15,15,12,6,sensory
OLL,6,7,10,9,12,17,22,15,21,22,27,sensory
OLQD,5,6,4,4,6,7,10,12,15,16,13,sensory
