,ADF,ADL,AFD,ALM,ALN,AQR,ASE,ASG,ASH,ASI,ASJ,ASK,AUA,AVM,AWA,AWB,AWC,BAG,DVA,FLP,IL2D,IL2L/R,IL2V,OLL,OLQD,OLQV,PLN,SAAD,SAAV,SDQ,URB,URX,URYD,URYV,ADA,AIA,AIB,AIN,AIY,AIZ,AVA,AVB,AVD,AVE,BDU,DVC,PVC,PVP,PVR,PVT,RIA,RIB,RIF,RIG,RIH,RIM,RIP,RIR,IL1D,IL1L/R,IL1V,RIV,RMDD,RMDL/R,RMDV,RMED,RMEL/R,RMEV,RMF,RMH,SIAD,SIAV,SIBD,SIBV,SMBD,SMBV,SMDD,SMDV,URAD,URAV,ADE,AIM,ALA,AVF,AVH,AVJ,AVK,AVL,CEPD,CEPV,HSN,PVW,PVQ,RIC,RID,RIS,RMG
ADF,,,,,,,1.0,,3.0,,,,,,4.0,3.3333333333333335,,,,,,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,,,,,,,,,,,,
ADL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,,,1.3333333333333333,,,,,,,,,,,
AFD,,,,,,,8.0,,,,,,,,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,
ALN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQR,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ASE,,1.6666666666666667,3.3333333333333335,,,,1.6666666666666667,,,2.0,,,,,13.0,,3.6666666666666665,,,,,,,,,,,,,,,,,,,4.666666666666667,,4.333333333333333,,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ASG,,,,,,,,,,23.333333333333332,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH,,,,,,,,,,,,,,,6.666666666666667,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,,,,,,1.0,,,,
ASI,,2.3333333333333335,,,,,,17.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASJ,,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
ASK,,3.6666666666666665,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.666666666666666,,,,,,,,,,6.666666666666667,,,,
AUA,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,8.666666666666666,,,,,,4.333333333333333,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWA,,,,,,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
AWB,4.333333333333333,,,,,,,,,,,,,,7.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWC,,6.333333333333333,,,,,6.333333333333333,,,8.333333333333334,,,,,,,7.666666666666667,,,,,,,,,,,,,,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAG,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,14.666666666666666,,,,,,,,2.3333333333333335,,,,,,13.0,,4.0,2.6666666666666665,,,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
FLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL2D,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,,,,,,,,,,,2.3333333333333335,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,
IL2L/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL2V,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,,,,,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLL,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,2.6666666666666665,3.6666666666666665,,1.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.666666666666666,13.333333333333334,,,,,,,
OLQD,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,
OLQV,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.3333333333333333,,,,,,,
SAAD,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,3.0,,,,14.666666666666666,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,5.666666666666667,,,,,,,,,,,,,,10.0,,,,,1.6666666666666667,,,,,,,,,,,,,,,,4.0
SAAV,,,,,9.0,,,,,,,,,,,,,,,,5.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334,,,,,,,,,,,,,,,,,,,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,
SDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URB,,,,,,,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,6.333333333333333,4.0,,,,,,,
URX,,,,,,,,,,,,,2.3333333333333335,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
URYD,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,,,2.3333333333333335,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URYV,,,,,,,,,,,,,,,,,,,,,,,2.0,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,1.6666666666666667,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADA,1.6666666666666667,3.0,,,,,1.6666666666666667,,3.0,,,1.6666666666666667,,,,5.0,2.0,,1.3333333333333333,,,,,,,,,,,,4.333333333333333,,,,,8.0,,,,,,,,,,,,,,,,,13.0,,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,1.6666666666666667,,,,,1.6666666666666667,,,
AIA,1.6666666666666667,11.666666666666666,,,,,7.333333333333333,,15.0,5.666666666666667,,17.333333333333332,,,3.0,2.0,14.333333333333334,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,12.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.333333333333333,1.6666666666666667,,,,,,,,,,8.0,,,,
AIB,,12.666666666666666,,,,,23.666666666666668,,5.0,,,,,,4.0,4.0,19.333333333333332,,,,,,,,,,,,,4.666666666666667,,,,,,21.666666666666668,,1.0,,26.333333333333332,,,,,,,,2.0,,,,5.333333333333333,,,,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,,,
AIN,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIY,,,21.666666666666668,,,,36.0,,,,,,,,10.0,3.6666666666666665,27.0,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ,18.666666666666668,,,,,,8.333333333333334,,,,,,,,18.666666666666668,6.0,5.0,,7.0,,,,,,,,,,,,,,,,,2.3333333333333335,6.0,,21.0,,,,,,,,,,,,,,2.3333333333333335,13.333333333333334,15.666666666666666,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVA,,,,,,10.0,,,15.666666666666666,,,,4.666666666666667,,,,,7.333333333333333,4.333333333333333,12.0,,,,,,,,12.0,22.333333333333332,3.6666666666666665,,,3.6666666666666665,4.333333333333333,12.666666666666666,,3.3333333333333335,,,,,,,,,5.0,5.666666666666667,5.666666666666667,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.666666666666666,,,2.6666666666666665,8.333333333333334,,,,,,,,,,,
AVB,1.6666666666666667,,,,,6.333333333333333,,,2.0,,,,,12.0,,,,,,6.666666666666667,,,,,,,,,,11.0,10.0,,4.333333333333333,4.333333333333333,25.0,,10.0,,,,,,,,5.0,,22.333333333333332,18.0,11.0,,,,16.666666666666668,1.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.666666666666667,,,10.0,18.666666666666668,,,1.3333333333333333,,,6.0,,28.333333333333332,,,2.3333333333333335
AVD,,8.0,,4.333333333333333,,,,,18.666666666666668,,,,1.3333333333333333,,,,,,,,,,,,,,,,,,,,4.333333333333333,1.6666666666666667,2.6666666666666665,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,7.666666666666667,,,,,,,,,,,
AVE,,,,,,,,,,,,,6.666666666666667,,,,,4.333333333333333,14.0,,,,,44.0,4.666666666666667,4.0,,,,,,3.0,4.0,5.0,,,4.333333333333333,,,6.0,,,,,,,3.6666666666666665,,,,,17.666666666666668,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,1.6666666666666667,,,,3.6666666666666665,,9.666666666666666,10.333333333333334,,,,,,13.666666666666666,3.0
BDU,,,,2.6666666666666665,,,,,5.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.6666666666666665,,,,
DVC,,,,,,,,,,,,,,,,,,,,,,4.0,1.3333333333333333,,,,,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVC,,,,2.6666666666666665,,,,,,,,,,12.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3333333333333335,5.666666666666667,,,,,,,,,,,
PVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
PVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6666666666666665,,,,,
PVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIA,9.666666666666666,,,,,,,,,1.0,,,19.666666666666668,,,,,13.666666666666666,1.6666666666666667,,,,,,,,,,1.0,,,17.0,,1.3333333333333333,,,,,7.333333333333333,18.666666666666668,,,,,,3.6666666666666665,,,,,50.333333333333336,4.0,,3.0,24.0,,,9.333333333333334,,,,9.0,,25.333333333333332,,,,,,,,,,,,,20.666666666666668,33.333333333333336,,,,,,,,,,,,,,,,,,,
