,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,8414886,48935.0,30485.0,12030.0,1859368,8402588,1854528,8285031,ADAL,AVBR,ADA,AVB
1,8414886,48935.0,30485.0,12030.0,1859368,8402588,1859413,8403488,ADAL,RIML,ADA,RIM
2,8414886,48935.0,30485.0,12030.0,1859368,8402588,1857842,8366274,ADAL,AVBL,ADA,AVB
3,8414874,36700.0,18958.0,5910.0,1859368,8403229,1854528,8284199,ADAL,AVBR,ADA,AVB
4,8414874,36700.0,18958.0,5910.0,1859368,8403229,1854405,8281324,ADAL,AVJL,ADA,AVJ
5,8414874,36700.0,18958.0,5910.0,1859368,8403229,1857842,8366851,ADAL,AVBL,ADA,AVB
6,8414894,41120.0,22656.0,16710.0,1859368,8403251,1857842,8366492,ADAL,AVBL,ADA,AVB
7,8414894,41120.0,22656.0,16710.0,1859368,8403251,1858050,8372261,ADAL,AVJR,ADA,AVJ
8,8414896,39660.0,20932.0,16410.0,1859368,8403241,1857842,8366501,ADAL,AVBL,ADA,AVB
9,8414896,39660.0,20932.0,16410.0,1859368,8403241,1858050,8372244,ADAL,AVJR,ADA,AVJ
10,8414897,40888.0,22192.0,16560.0,1859368,8403246,1857842,8366497,ADAL,AVBL,ADA,AVB
11,8414897,40888.0,22192.0,16560.0,1859368,8403246,1858050,8372256,ADAL,AVJR,ADA,AVJ
12,8414881,38234.0,18240.0,13500.0,1859368,8402980,1855391,8307946,ADAL,AVAL,ADA,AVA
13,8414881,38234.0,18240.0,13500.0,1859368,8402980,1857842,8366601,ADAL,AVBL,ADA,AVB
14,8414881,38234.0,18240.0,13500.0,1859368,8402980,1858050,8372143,ADAL,AVJR,ADA,AVJ
15,8417759,38390.0,18276.0,13770.0,1859368,8402971,1855391,8307929,ADAL,AVAL,ADA,AVA
16,8417759,38390.0,18276.0,13770.0,1859368,8402971,1858050,8372152,ADAL,AVJR,ADA,AVJ
17,8417759,38390.0,18276.0,13770.0,1859368,8402971,1857842,8366592,ADAL,AVBL,ADA,AVB
18,8414891,41864.0,24028.0,16410.0,1859368,8403283,1858005,8371310,ADAL,AVDR,ADA,AVD
19,8414891,41864.0,24028.0,16410.0,1859368,8403283,1857842,8366448,ADAL,AVBL,ADA,AVB
20,8414891,41864.0,24028.0,16410.0,1859368,8403283,1858050,8372280,ADAL,AVJR,ADA,AVJ
21,8417754,42126.0,25550.0,15390.0,1859368,8402826,1853712,8262673,ADAL,RIPL,ADA,RIP
22,8417754,42126.0,25550.0,15390.0,1859368,8402826,1859048,8393481,ADAL,OLQVL,ADA,OLQV
23,8417754,42126.0,25550.0,15390.0,1859368,8402826,1857842,8366415,ADAL,AVBL,ADA,AVB
24,8414888,48355.0,29837.0,11940.0,1859368,8402585,1857842,8366277,ADAL,AVBL,ADA,AVB
25,8414888,48355.0,29837.0,11940.0,1859368,8402585,1859413,8403585,ADAL,RIML,ADA,RIM
26,8414892,48407.0,30081.0,12840.0,1859368,8402668,1857842,8367337,ADAL,AVBL,ADA,AVB
27,8414892,48407.0,30081.0,12840.0,1859368,8402668,1859413,8403579,ADAL,RIML,ADA,RIM
28,8414893,48979.0,30401.0,12780.0,1859368,8402666,1859413,8403513,ADAL,RIML,ADA,RIM
29,8414893,48979.0,30401.0,12780.0,1859368,8402666,1857842,8366302,ADAL,AVBL,ADA,AVB
30,8414899,49047.0,30549.0,12600.0,1859368,8402652,1859413,8403507,ADAL,RIML,ADA,RIM
31,8414899,49047.0,30549.0,12600.0,1859368,8402652,1857842,8366296,ADAL,AVBL,ADA,AVB
32,8417757,41730.0,25006.0,15330.0,1859368,8402813,1853712,8262663,ADAL,RIPL,ADA,RIP
33,8417757,41730.0,25006.0,15330.0,1859368,8402813,1857842,8366413,ADAL,AVBL,ADA,AVB
34,8417524,41730.0,25074.0,15300.0,1859368,8402814,1857842,8366408,ADAL,AVBL,ADA,AVB
35,8417524,41730.0,25074.0,15300.0,1859368,8402814,1853712,8262663,ADAL,RIPL,ADA,RIP
36,8417524,41730.0,25074.0,15300.0,1859368,8402814,1853712,8262665,ADAL,RIPL,ADA,RIP
37,8414877,36612.0,18986.0,6180.0,1859368,8403220,1856058,8323953,ADAL,RIPR,ADA,RIP
38,8414877,36612.0,18986.0,6180.0,1859368,8403220,1857842,8366842,ADAL,AVBL,ADA,AVB
39,8414878,37098.0,17599.0,11310.0,1859368,8403051,1853712,8262864,ADAL,RIPL,ADA,RIP
40,8414878,37098.0,17599.0,11310.0,1859368,8403051,1854528,8285102,ADAL,AVBR,ADA,AVB
41,8414879,37394.0,17591.0,11520.0,1859368,8403044,1854528,8284392,ADAL,AVBR,ADA,AVB
42,8414879,37394.0,17591.0,11520.0,1859368,8403044,1853712,8262857,ADAL,RIPL,ADA,RIP
43,8414880,37652.0,17622.0,11790.0,1859368,8403036,1853712,8262849,ADAL,RIPL,ADA,RIP
44,8414880,37652.0,17622.0,11790.0,1859368,8403036,1858050,8372086,ADAL,AVJR,ADA,AVJ
45,8414880,37652.0,17622.0,11790.0,1859368,8403036,1854528,8284400,ADAL,AVBR,ADA,AVB
46,8414875,36796.0,19002.0,5970.0,1859368,8403227,1854528,8284201,ADAL,AVBR,ADA,AVB
47,8414875,36796.0,19002.0,5970.0,1859368,8403227,1856058,8323939,ADAL,RIPR,ADA,RIP
48,8417525,44711.0,28625.0,12720.0,1859368,8402725,1852675,8241042,ADAL,RMFL,ADA,RMF
49,8417525,44711.0,28625.0,12720.0,1859368,8402725,1852778,8243384,ADAL,AVAR,ADA,AVA
50,8414882,44418.0,28654.0,13080.0,1859368,8402737,1859413,8403673,ADAL,RIML,ADA,RIM
51,8414882,44418.0,28654.0,13080.0,1859368,8402737,1852675,8241054,ADAL,RMFL,ADA,RMF
52,8414882,44418.0,28654.0,13080.0,1859368,8402737,1859300,8400236,ADAL,SAADL,ADA,SAAD
53,8414890,52531.0,30637.0,11640.0,1859368,8402504,1854175,8276331,ADAL,SMDVR,ADA,SMDV
54,8417537,43648.0,29568.0,8130.0,1855712,8316188,1853942,8268665,ADAR,RMFR,ADA,RMF
55,8417537,43648.0,29568.0,8130.0,1855712,8316188,1855391,8308456,ADAR,AVAL,ADA,AVA
56,8417530,38588.0,23781.0,3840.0,1855712,8316443,1852778,8243762,ADAR,AVAR,ADA,AVA
57,8417530,38588.0,23781.0,3840.0,1855712,8316443,1854528,8284108,ADAR,AVBR,ADA,AVB
58,8417542,51504.0,32230.0,8730.0,1855712,8316052,1857842,8367294,ADAR,AVBL,ADA,AVB
59,8417542,51504.0,32230.0,8730.0,1855712,8316052,1854528,8285128,ADAR,AVBR,ADA,AVB
60,8417540,50120.0,31228.0,8730.0,1855712,8316073,1857842,8367158,ADAR,AVBL,ADA,AVB
61,8417540,50120.0,31228.0,8730.0,1855712,8316073,1853861,8266554,ADAR,RIMR,ADA,RIM
62,8417540,50120.0,31228.0,8730.0,1855712,8316073,1854528,8285128,ADAR,AVBR,ADA,AVB
63,8417543,51144.0,32068.0,8820.0,1855712,8316049,1853861,8266551,ADAR,RIMR,ADA,RIM
64,8417543,51144.0,32068.0,8820.0,1855712,8316049,1857842,8367161,ADAR,AVBL,ADA,AVB
65,8417543,51144.0,32068.0,8820.0,1855712,8316049,1854528,8285131,ADAR,AVBR,ADA,AVB
66,8416477,37138.0,20548.0,4710.0,1855712,8316372,1854405,8281364,ADAR,AVJL,ADA,AVJ
67,8416477,37138.0,20548.0,4710.0,1855712,8316372,1854528,8284158,ADAR,AVBR,ADA,AVB
68,8417528,36750.0,19358.0,5490.0,1855712,8316398,1854528,8284185,ADAR,AVBR,ADA,AVB
69,8417528,36750.0,19358.0,5490.0,1855712,8316398,1854405,8281338,ADAR,AVJL,ADA,AVJ
70,8417529,37376.0,20893.0,4410.0,1855712,8316362,1854405,8281379,ADAR,AVJL,ADA,AVJ
71,8417529,37376.0,20893.0,4410.0,1855712,8316362,1854528,8284148,ADAR,AVBR,ADA,AVB
72,8417533,40052.0,25271.0,4980.0,1855712,8316315,1854405,8281454,ADAR,AVJL,ADA,AVJ
73,8417533,40052.0,25271.0,4980.0,1855712,8316315,1854528,8284071,ADAR,AVBR,ADA,AVB
74,8417534,40176.0,25655.0,5280.0,1855712,8316304,1854405,8281468,ADAR,AVJL,ADA,AVJ
75,8417534,40176.0,25655.0,5280.0,1855712,8316304,1854528,8284061,ADAR,AVBR,ADA,AVB
76,8417541,51846.0,32450.0,8640.0,1855712,8316055,1854405,8281610,ADAR,AVJL,ADA,AVJ
77,8417541,51846.0,32450.0,8640.0,1855712,8316055,1854528,8283916,ADAR,AVBR,ADA,AVB
78,8417527,36714.0,19254.0,5580.0,1855712,8316401,1854528,8284188,ADAR,AVBR,ADA,AVB
79,8417527,36714.0,19254.0,5580.0,1855712,8316401,1854405,8281335,ADAR,AVJL,ADA,AVJ
80,8417527,36714.0,19254.0,5580.0,1855712,8316401,1857842,8366862,ADAR,AVBL,ADA,AVB
81,8417531,38300.0,23301.0,3990.0,1855712,8316438,1854528,8284103,ADAR,AVBR,ADA,AVB
82,8417531,38300.0,23301.0,3990.0,1855712,8316438,1854405,8281422,ADAR,AVJL,ADA,AVJ
83,8417531,38300.0,23301.0,3990.0,1855712,8316438,1854322,8278917,ADAR,AVER,ADA,AVE
84,8417532,39828.0,24999.0,4830.0,1855712,8316320,1854405,8281450,ADAR,AVJL,ADA,AVJ
85,8417532,39828.0,24999.0,4830.0,1855712,8316320,1855653,8314908,ADAR,RICR,ADA,RIC
86,8417532,39828.0,24999.0,4830.0,1855712,8316320,1854528,8284076,ADAR,AVBR,ADA,AVB
87,8417539,49188.0,31416.0,8310.0,1855712,8316128,1854528,8283929,ADAR,AVBR,ADA,AVB
88,8417539,49188.0,31416.0,8310.0,1855712,8316128,1853861,8266614,ADAR,RIMR,ADA,RIM
89,8417760,49532.0,31244.0,8550.0,1855712,8316120,1854528,8283921,ADAR,AVBR,ADA,AVB
90,8417760,49532.0,31244.0,8550.0,1855712,8316120,1853861,8266560,ADAR,RIMR,ADA,RIM
91,8417535,41204.0,27292.0,6180.0,1855712,8316263,1856058,8323550,ADAR,RIPR,ADA,RIP
92,8417535,41204.0,27292.0,6180.0,1855712,8316263,1854528,8284031,ADAR,AVBR,ADA,AVB
93,8417536,40886.0,26692.0,6240.0,1855712,8316261,1854528,8284019,ADAR,AVBR,ADA,AVB
94,8417536,40886.0,26692.0,6240.0,1855712,8316261,1856058,8323543,ADAR,RIPR,ADA,RIP
95,8417765,41110.0,26926.0,6240.0,1855712,8417766,1854528,8284019,ADAR,AVBR,ADA,AVB
96,8417765,41110.0,26926.0,6240.0,1855712,8417766,1856058,8323548,ADAR,RIPR,ADA,RIP
97,8417764,41222.0,27192.0,6240.0,1855712,8316261,1856058,8323548,ADAR,RIPR,ADA,RIP
98,8417764,41222.0,27192.0,6240.0,1855712,8316261,1854528,8284019,ADAR,AVBR,ADA,AVB
99,8417763,36734.0,20174.0,4800.0,1855712,8316375,1854405,8281361,ADAR,AVJL,ADA,AVJ
100,8417763,36734.0,20174.0,4800.0,1855712,8316375,1857842,8366888,ADAR,AVBL,ADA,AVB
101,8417763,36734.0,20174.0,4800.0,1855712,8316375,1852778,8242779,ADAR,AVAR,ADA,AVA
102,8417990,43516.0,29556.0,8100.0,1855712,8316189,1853942,8268666,ADAR,RMFR,ADA,RMF
103,8417990,43516.0,29556.0,8100.0,1855712,8316189,1853861,8266724,ADAR,RIMR,ADA,RIM
104,8417762,58056.0,34160.0,8460.0,1855712,8315951,1852827,8244938,ADAR,SMDVL,ADA,SMDV
105,8417621,53851.0,30953.0,12030.0,1856489,8335026,1857421,8352725,ADEL,RIGL,ADE,RIG
106,8417621,53851.0,30953.0,12030.0,1856489,8335026,1856682,8336085,ADEL,ADER,ADE,ADE
107,8417623,54563.0,31343.0,12510.0,1856489,8335010,1857421,8352709,ADEL,RIGL,ADE,RIG
108,8417623,54563.0,31343.0,12510.0,1856489,8335010,1856682,8336102,ADEL,ADER,ADE,ADE
109,8417634,57015.0,32761.0,12840.0,1856489,8334986,1857421,8352680,ADEL,RIGL,ADE,RIG
110,8417634,57015.0,32761.0,12840.0,1856489,8334986,1856682,8336113,ADEL,ADER,ADE,ADE
111,8417634,57015.0,32761.0,12840.0,1856489,8334986,1852778,8243523,ADEL,AVAR,ADE,AVA
112,8417614,51474.0,29970.0,10860.0,1856489,8335065,1859368,8402530,ADEL,ADAL,ADE,ADA
113,8417614,51474.0,29970.0,10860.0,1856489,8335065,1852778,8243454,ADEL,AVAR,ADE,AVA
114,8417650,39020.0,20864.0,14850.0,1858222,8375769,1858754,8387563,ADEL,Fragment,ADE,Fragment
115,8417650,39020.0,20864.0,14850.0,1858222,8375769,1858882,8390506,ADEL,CEPDL,ADE,CEPD
116,8471638,39264.0,21456.0,15150.0,1858222,8375698,1855433,8309708,ADEL,RMHR,ADE,RMH
117,8471638,39264.0,21456.0,15150.0,1858222,8375698,1858882,8390516,ADEL,CEPDL,ADE,CEPD
118,8417657,41588.0,18526.0,16230.0,1858222,8375659,1852827,8244051,ADEL,SMDVL,ADE,SMDV
119,8417657,41588.0,18526.0,16230.0,1858222,8375659,1858797,8389010,ADEL,IL1L,ADE,IL1L/R
120,8417657,41588.0,18526.0,16230.0,1858222,8375659,1856669,8335689,ADEL,CEPshDR,ADE,CEPshD
121,8417656,41312.0,19426.0,15360.0,1858222,8375688,1858943,8391511,ADEL,IL2L,ADE,IL2L/R
122,8417995,54237.0,31147.0,12390.0,1856489,8335014,1857421,8352713,ADEL,RIGL,ADE,RIG
123,8417612,51794.0,30482.0,10500.0,1856489,8335075,1855391,8308727,ADEL,AVAL,ADE,AVA
124,8417612,51794.0,30482.0,10500.0,1856489,8335075,1852778,8243636,ADEL,AVAR,ADE,AVA
125,8417612,51794.0,30482.0,10500.0,1856489,8335075,1857421,8352791,ADEL,RIGL,ADE,RIG
126,8417618,52390.0,30822.0,11070.0,1856489,8335058,1857421,8352762,ADEL,RIGL,ADE,RIG
