,connector_id,x,y,z,pre_skid,pre_node,post_skid,post_node,pre,post,pre_pair,post_pair
0,10932244,505637.0,97384.3,14840.0,2161601,10608606,2161146,10580920,ADAL,RIML,ADA,RIM
1,10932244,505637.0,97384.3,14840.0,2161601,10608606,2161941,10616834,ADAL,AVBR,ADA,AVB
2,10932244,505637.0,97384.3,14840.0,2161601,10608606,2161166,10582620,ADAL,AIBR,ADA,AIB
3,10932248,505382.0,97856.2,15120.0,2161601,10608602,2161166,10582624,ADAL,AIBR,ADA,AIB
4,10932248,505382.0,97856.2,15120.0,2161601,10608602,2161087,10576109,ADAL,SAADL,ADA,SAAD
5,10932248,505382.0,97856.2,15120.0,2161601,10608602,2161941,10616728,ADAL,AVBR,ADA,AVB
6,10932249,504758.0,96062.0,14700.0,2161601,10608635,2161958,10618125,ADAL,AVBL,ADA,AVB
7,10932249,504758.0,96062.0,14700.0,2161601,10608635,2161576,10606768,ADAL,AVJR,ADA,AVJ
8,10932250,503762.0,96743.2,15190.0,2161601,10608628,2161958,10618118,ADAL,AVBL,ADA,AVB
9,10932250,503762.0,96743.2,15190.0,2161601,10608628,2161093,10576628,ADAL,AVAL,ADA,AVA
10,10932252,506379.0,94234.2,14700.0,2161601,10608671,2161941,10616663,ADAL,AVBR,ADA,AVB
11,10932252,506379.0,94234.2,14700.0,2161601,10608671,2161958,10618148,ADAL,AVBL,ADA,AVB
12,10932252,506379.0,94234.2,14700.0,2161601,10608671,2161093,10577021,ADAL,AVAL,ADA,AVA
13,10932253,507148.0,94987.7,22400.0,2161613,10609141,2161155,10581455,ADAR,RIMR,ADA,RIM
14,10932253,507148.0,94987.7,22400.0,2161613,10609141,2161958,10618300,ADAR,AVBL,ADA,AVB
15,10932255,505122.0,93823.3,21280.0,2161613,10609023,2161485,10601047,ADAR,AVDL,ADA,AVD
16,10932255,505122.0,93823.3,21280.0,2161613,10609023,2161941,10616539,ADAR,AVBR,ADA,AVB
17,10932258,497644.0,97112.7,19950.0,2161613,10609176,2161155,10581775,ADAR,RIMR,ADA,RIM
18,10932258,497644.0,97112.7,19950.0,2161613,10609176,2161941,10616488,ADAR,AVBR,ADA,AVB
19,10932259,496383.0,97843.3,19950.0,2161613,10609171,2161155,10581775,ADAR,RIMR,ADA,RIM
20,10932259,496383.0,97843.3,19950.0,2161613,10609171,2161941,10616488,ADAR,AVBR,ADA,AVB
21,10932264,494512.0,98058.0,18760.0,2161593,10608186,2161794,10612131,ADEL,RIGR,ADE,RIG
22,10932265,494783.0,98492.7,18410.0,2161593,10608181,2162470,10630119,ADEL,RIGL,ADE,RIG
23,10932265,494783.0,98492.7,18410.0,2161593,10608181,2161794,10612493,ADEL,RIGR,ADE,RIG
24,10932265,494783.0,98492.7,18410.0,2161593,10608181,2161447,10598411,ADEL,ADER,ADE,ADE
25,10932266,495327.0,98454.7,17290.0,2161593,10608164,2161111,10578174,ADEL,AVER,ADE,AVE
26,10932266,495327.0,98454.7,17290.0,2161593,10608164,2160939,10568356,ADEL,AVAR,ADE,AVA
27,10932267,491424.0,100238.0,17780.0,2161593,10608135,2161513,10603069,ADEL,RMGL,ADE,RMG
28,10932268,495429.0,98480.7,18340.0,2161447,10598412,2161794,10612492,ADER,RIGR,ADE,RIG
29,10932268,495429.0,98480.7,18340.0,2161447,10598412,2162470,10630119,ADER,RIGL,ADE,RIG
30,10932269,495657.0,97298.7,19250.0,2161627,10609474,2161485,10601148,FLPL,AVDL,FLP,AVD
