neuron,ADFL,ADFR,ADLL,ADLR,AFDL,AFDR,ALML,ALMR,ALNL,ALNR,AQR,ASEL,ASER,ASGL,ASGR,ASHL,ASHR,ASIL,ASIR,ASJL,ASJR,ASKL,ASKR,AUAL,AUAR,AVM,AWAL,AWAR,AWBL,AWBR,AWCL,AWCR,BAGL,BAGR,DVA,FLPL,FLPR,IL2DL,IL2DR,IL2L,IL2R,IL2VL,IL2VR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,PLNL,PLNR,SAADL,SAADR,SAAVL,SAAVR,SDQL,SDQR,URBL,URBR,URXL,URXR,URYDL,URYDR,URYVL,URYVR,ADAL,ADAR,AIAL,AIAR,AIBL,AIBR,AINL,AINR,AIYL,AIYR,AIZL,AIZR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVEL,AVER,AVJL,AVJR,BDUL,BDUR,PVCL,PVCR,PVPL,PVPR,PVR,PVT,RIAL,RIAR,RIBL,RIBR,RIFL,RIFR,RIGL,RIGR,RIH,RIML,RIMR,RIPL,RIPR,RIR,IL1DL,IL1DR,IL1L,IL1R,IL1VL,IL1VR,RIVL,RIVR,RMDDL,RMDDR,RMDL,RMDR,RMDVL,RMDVR,RMED,RMEL,RMER,RMEV,RMFL,RMFR,RMHL,RMHR,SIADL,SIADR,SIAVL,SIAVR,SIBDL,SIBDR,SIBVL,SIBVR,SMBDL,SMBDR,SMBVL,SMBVR,SMDDL,SMDDR,SMDVL,SMDVR,URADL,URADR,URAVL,URAVR,ADEL,ADER,AIML,AIMR,ALA,AVFL,AVFR,AVHL,AVHR,AVKL,AVKR,AVL,CEPDL,CEPDR,CEPVL,CEPVR,DVC,PVWL_or_R_1,PVWL_or_R_3,PVQL,PVQR,RICL,RICR,RID,RIS,RMGL,RMGR,BWM-DL01,BWM-DL02,BWM-DL03,BWM-DL04,BWM-DL05,BWM-DL06,BWM-DL07,BWM-DL08,BWM-DR01,BWM-DR02,BWM-DR03,BWM-DR04,BWM-DR05,BWM-DR06,BWM-DR07,BWM-DR08,BWM-VL01,BWM-VL02,BWM-VL03,BWM-VL04,BWM-VL05,BWM-VL06,BWM-VL07,BWM-VL08,BWM-VR01,BWM-VR02,BWM-VR03,BWM-VR04,BWM-VR05,BWM-VR06,BWM-VR07,BWM-VR08
ADFL,0,774,1278,0,3325,0,0,0,0,0,179,1358,246,659,0,2142,64,276,0,59,0,27,0,5109,261,0,6246,0,9093,419,113,158,0,420,189,0,0,0,0,0,0,0,0,2,0,13,0,282,0,0,0,0,0,0,20,0,0,0,0,2534,0,18,0,132,0,866,0,1662,1,333,255,1,734,2023,0,4762,163,57,0,272,6,0,1,0,0,0,28,0,0,77,0,1068,489,0,0,1183,0,804,120,1054,50,223,0,413,494,0,0,0,2262,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0,77,0,1009,0,703,0,442,0,2081,0,0,5,0,0,0,0,0,0,0,0,834,0,2,45,66,36,1816,0,0,0,0,0,14,0,0,16,0,86,0,19,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADFR,774,0,0,1484,0,2977,0,0,0,8,224,337,970,0,177,0,2252,0,403,0,109,0,36,0,5226,4,0,6351,50,10809,146,86,474,0,283,0,0,0,0,0,17,0,0,0,0,0,0,0,364,0,0,0,0,10,0,0,0,0,0,0,1855,0,7,0,163,0,439,0,1199,82,124,456,42,6,1546,100,4915,0,165,8,320,0,0,17,135,238,0,0,46,51,20,0,1180,0,0,0,1235,0,725,0,1188,0,273,131,0,475,0,0,2526,0,7,0,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,61,0,302,0,251,0,494,0,846,0,2513,0,0,0,0,0,0,0,0,0,0,0,762,12,38,8,3914,19,0,0,0,0,0,0,0,0,0,0,0,78,347,1,0,25,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLL,1278,0,0,305,212,0,304,0,8,0,38,3426,38,788,0,4191,0,289,0,441,0,4125,48,18,0,0,4392,0,3933,0,2093,570,0,86,45,0,0,187,0,221,0,0,0,188,0,182,0,322,0,0,0,0,0,0,0,0,0,132,0,136,0,66,0,103,0,1277,0,2215,0,2012,0,107,0,653,0,594,0,945,0,267,14,348,985,64,0,507,655,3,0,228,0,171,0,0,0,16,0,0,0,660,0,16,0,0,204,0,0,0,178,72,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,25,0,89,124,279,0,9,4,1200,0,0,17,0,0,77,0,0,0,1,0,27,0,2226,463,225,83,1577,0,0,0,9,0,13,0,0,0,0,1971,0,0,0,76,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLR,0,1484,305,0,0,680,0,79,0,0,268,18,3903,0,438,0,3689,244,622,0,528,481,4715,0,70,0,0,4718,0,3517,189,2396,12,0,148,0,0,0,279,0,158,0,0,0,94,0,189,0,393,0,0,0,0,0,0,0,0,0,174,0,170,0,87,0,178,0,1026,74,2579,0,2050,0,12,0,520,0,465,0,678,74,117,1448,265,0,0,751,429,0,0,0,586,0,1325,0,0,0,7,0,0,0,691,0,41,0,0,0,0,14,144,0,244,0,157,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,71,0,0,1,114,2,47,61,0,18,0,1713,2,0,0,0,0,105,0,1,0,16,0,46,2640,502,73,2513,341,0,0,0,0,0,0,0,0,0,0,0,2636,15,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDL,3325,0,212,0,0,313,0,0,0,0,2,1848,3326,64,0,1,0,1321,0,0,0,67,0,6561,406,0,4168,0,787,0,1397,1214,7,2485,3,0,0,135,0,259,0,0,0,93,0,110,0,0,0,0,0,0,0,16,2,0,0,37,0,1022,0,107,0,0,0,0,0,291,1,946,5,1670,6124,7432,35,1650,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,474,22,0,0,9,0,5,15,0,0,0,180,132,0,54,0,0,0,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158,0,0,0,0,0,11,0,0,0,18,0,63,0,0,0,0,0,160,0,0,0,0,0,1,0,0,0,112,0,186,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDR,0,2977,0,680,313,0,0,0,0,0,38,3295,2253,0,110,0,4,0,2700,0,10,0,215,0,7615,0,0,3947,0,2914,1233,1496,2547,66,0,0,0,0,10,0,270,0,0,0,115,0,45,0,1,0,0,0,0,0,8,0,0,0,171,0,480,0,62,0,0,0,0,0,424,6,806,5832,1447,116,7638,0,2048,0,21,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,139,0,685,0,0,0,7,8,0,15,0,0,305,0,61,0,122,0,0,0,140,0,0,0,0,0,0,0,0,0,0,180,18,0,0,0,0,0,0,0,232,0,0,0,0,0,7,0,0,0,30,0,11,0,0,0,0,0,21,0,0,0,110,0,0,0,0,0,0,0,141,0,0,0,0,3,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALML,0,0,304,0,0,0,0,0,646,0,507,0,0,0,0,245,0,0,0,795,0,129,0,0,0,3838,0,0,64,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,126,0,3188,13,957,0,1562,0,1,0,57,0,2122,0,0,0,0,0,364,0,0,0,0,0,66,0,1090,214,2275,2018,18,0,941,1244,7652,0,2914,0,563,0,1868,0,0,0,0,0,2393,0,0,0,0,39,0,28,0,0,9,0,328,0,0,0,25,0,0,0,50,0,0,267,0,0,0,0,0,85,14,0,0,2464,0,0,0,1511,0,295,0,904,85,0,0,330,0,0,0,0,0,0,763,0,2291,0,368,278,494,784,116,0,0,0,725,0,899,0,0,2213,1784,120,0,17,113,1045,0,1044,0,0,12,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ALMR,0,0,0,79,0,0,0,0,0,1824,187,0,0,0,0,0,235,0,0,0,149,0,53,0,0,1545,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,931,0,0,96,0,3904,0,2146,0,2088,0,0,0,0,0,1625,0,0,0,0,0,314,0,0,0,0,0,0,751,702,1884,2714,0,260,1408,629,0,5343,0,2580,0,135,2447,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,3,0,67,0,0,0,30,0,0,0,42,255,0,0,0,0,0,0,0,134,14,2026,0,0,17,1348,7,553,57,1076,0,0,71,50,0,0,0,0,0,0,0,0,2078,0,1279,211,88,1267,0,485,0,0,0,0,1090,0,2059,0,3645,3599,0,95,108,431,0,0,0,843,0,0,0,0,0,0,0,0,0,10,0,476,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,117,0,0
ALNL,0,0,8,0,0,0,646,0,0,0,0,13,0,0,0,29,0,0,0,28,0,56,0,0,0,0,39,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,64,0,0,0,0,0,0,0,750,2457,2156,238,454,0,259,0,281,0,0,0,0,0,195,0,0,0,0,97,289,0,0,0,0,0,21,337,11,0,204,0,39,0,259,24,2,0,0,0,0,0,0,1,158,0,0,0,0,0,497,0,0,90,426,0,0,0,0,0,3,0,0,0,253,619,352,47,0,372,83,349,0,0,0,0,95,2243,1084,2299,0,4666,248,0,0,1772,110,0,0,2043,58,0,289,2298,0,692,0,0,0,0,2190,0,26,0,83,117,38,487,0,63,526,1,0,0,0,0,66,0,0,37,0,318,71,0,0,3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALNR,0,8,0,0,0,0,0,1824,0,0,0,0,10,0,0,0,63,0,0,0,268,0,16,0,0,0,0,69,0,42,0,0,0,0,0,0,0,0,0,0,49,0,0,0,385,0,27,0,0,0,0,2504,502,331,3333,0,336,0,1145,0,166,0,0,0,0,0,43,0,0,129,0,0,585,0,0,0,0,738,11,0,36,41,72,0,27,125,664,0,0,120,19,0,0,0,0,0,129,0,0,0,0,0,289,0,446,142,0,0,0,0,0,0,124,0,0,691,1528,230,37,882,42,724,146,0,0,0,0,683,13,2723,789,4226,0,0,198,3055,0,0,199,3073,0,0,175,2795,460,713,3,0,0,0,0,0,4254,0,330,221,127,221,0,1365,241,0,0,0,942,0,0,0,0,0,0,77,138,90,0,0,0,4722,0,0,0,0,0,0,0,0,0,0,0,220,0,1168,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
